20MICRONS,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3IINFOTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ankurdrugspharma/ADP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anmoldrugspharmaceuticals/ADP02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anuhpharma/AP10
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anuslaboratories/AL12
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/archpharmalabs/AP30
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/arvindremedies/AR06
ACE,"http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/arvindsmartspaces/AI72
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrondrugsindustries/ADI03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurolaboratories/AL06
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/auromed/AL09
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bacilpharma/BP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
ACE,"http://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/banjaracements/BCL06
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/baseracements/BC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bdhindustries/BDH
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/beryldrugs/BD01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/betadrugs/BD04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/betalactlaboratories/BL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bharatimmunologicalsbiologicalscorporation/BIB
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bharatparenteralslimited/BPLPH54109
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bharatihealthcare/BH04
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/bheemacements/BC16
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biofilchemicalspharmaceuticals/BCP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biowinpharmaindia/BPI03
ACE,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/birlacenturyfinance/BCF
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
ACE,"http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/bodhgayaceramics/BGC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/boehringermannheim/BM02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bombaydrugspharmas/BDP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brabourneenterprises/BE09
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brawnbiotech/BP08
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brookslaboratories/BL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/burroughswellcomeindia/BWI
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cebonindia/CI04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/celestialbiolabs/CL05
ACE,"http://www.moneycontrol.com/india/stockpricequote/paper/cellaspacelimited/SSP08
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cephamorganics/CO
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cephampharmaceuticals/CPL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/chandrabhagatpharma/CBP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cheminordrugs/CD
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/chemopharmalaboratories/CPL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/chemoxchemicalindustries/CCI02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/chemoxlaboratories/CL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/chiplunfinechemicals/CFC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/clarislifesciences/CL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/colinzlaboratories/CL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/concorddrugs/CD05
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/corallaboratories/CL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/corehealthcare/CH01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/coromandelpharmaceuticals/CPL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/croslandsresearchlaboratories/CRL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/curefastremedies/CRL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cyberspacemultimedia/CM02
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cyberspaceinfosys/CI07
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/damaniapharma/DP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dattmediproducts/DML
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dauralaorganics/DO01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/decipherlabs/CD03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/deepharma/D
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/denischemlab/DCL04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/deshrakshakaushadalaya/DRA
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dishmanpharmaceuticalschemicals/DPC02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dolphinlaboratories/DL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drdatsonlabs/AL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslabsncd/DRL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dujohnlaboratories/DL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dynachempharmaceuticalsexport/DPE01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dynachempharmaexports/DPE
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/earnesthealthcare/EH
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/earumpharmaceuticals/EP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eberspharmaceuticals/EP06
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderhealthcare/EH02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderpharmaceuticals/EP9
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderprojects/EP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elegantpharmaceuticals/EP02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/emergypharma/EP04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/epicenzymerspharmaceuticalsindustrialchem/EEP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/erislifesciences/EL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eskaypharmaceuticals/EP05
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eupharmalaboratories/EL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/everestorganics/EO02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fermentabiotech/DIL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fernhillindustries/FI14
