BHARATFORG,"http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bharatforgepressindustries/BFP
BHARATFORG,"http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03
BHARATGEAR,"http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bharatgears/BG01
BHARATRAS,"http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bharatrasayan/BR01
BHARATWIRE,"http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bharatwireropes/BWR01
BIGBLOC,"http://www.moneycontrol.com/india/stockpricequote/bigblocconstru/bigblocconstruction/BC19
BILENERGY,"http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bilenergysystems/BES01
BIOFILCHEM,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biofilchemicalspharmaceuticals/BCP
BIRLACABLE,"http://www.moneycontrol.com/india/stockpricequote/cablestelephone/birlacable/BEO
BIRLAMONEY,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01
BIRLATYRE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/birlatyreslimited/BIRLA54293
BLISSGVS,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
BLKASHYAP,"http://www.moneycontrol.com/india/stockpricequote/blkashyap/blkashyapsons/BLK
BLS,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blsinternationalservices/BLS
TI,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blsinternationalservices/BLS
BLUEDART,"http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
BODALCHEM,"http://www.moneycontrol.com/india/stockpricequote/dyespigments/bodalchemicals/BC15
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bharatparenteralslimited/BPLPH54109
TI,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bharatparenteralslimited/BPLPH54109
BRIGADE,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
BRITANNIA,"http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
BROOKS,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brookslaboratories/BL
BSE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bselimited/B08
BSELINFRA,"http://www.moneycontrol.com/india/stockpricequote/bselinfra/bselinfrastructurerealty/BSE02
BSL,"http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/bslimited/BT
BSL,"http://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/tatasteelbsllimited/BS14
BURGERKING,"http://www.moneycontrol.com/india/stockpricequote/consumerfood/burgerkingindia/BKI01
BURNPUR,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/burnpurcement/BC13
BUTTERFLY,"http://www.moneycontrol.com/india/stockpricequote/domesticappliances/butterflygandhimathiappliances/GA
BYKE,"http://www.moneycontrol.com/india/stockpricequote/hotels/thebykehospitality/SH12
CAMLINFINE,"http://www.moneycontrol.com/india/stockpricequote/chemicals/camlinfinesciences/CFC03
CANFINHOME,"http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
CANTABIL,"http://www.moneycontrol.com/india/stockpricequote/retail/cantabilretailindia/CRI01
CAPACITE,"http://www.moneycontrol.com/india/stockpricequote/capaciteinfra/capaciteinfraprojects/CI19
CAREERP,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/careerpoint/CPI05
CARERATING,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
CASTEXTECH,"http://www.moneycontrol.com/india/stockpricequote/autoancillaries/castextechnologies/AI49
CASTROLIND,"http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CCL,"http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
CELEBRITY,"http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/celebrityfashions/CFL04
CENTRUM,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/centrumcapital/CF09
CENTUM,"http://www.moneycontrol.com/india/stockpricequote/electricals/centumelectronics/CE10
CENTURYPLY,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
CENTURYTEX,"http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI
CERA,"http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CEREBRAINT,"http://www.moneycontrol.com/india/stockpricequote/computershardware/cerebraintegratedtechnologies/CIT
CESC,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cescventureslimited/CESCV54233
CESCVENT,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cescventureslimited/CESCV54233
CESCVENT,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cescventureslimited/CESCV54233
CGPOWER,"http://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG
CHALET,"http://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
CHEMBOND,"http://www.moneycontrol.com/india/stockpricequote/chemicals/chembondchemicals/CC03
CHEMCON,"http://www.moneycontrol.com/india/stockpricequote/specialitychemicals/chemconspecialitychemicals/CSC
CHEMFAB,"http://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalis/CA01
CHROMATIC,"http://www.moneycontrol.com/india/stockpricequote/dyespigments/chromaticindia/CI31
CIGNITITEC,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cignititechnologies/CI42
CINELINE,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/cinelineindia/CI38
CLEDUCATE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cleducate/CE09
COALINDIA,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
COALINDIA,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
COCHINSHIP,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS
COFORGE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/coforgelimited/NII02
CONTROLPR,"http://www.moneycontrol.com/india/stockpricequote/trading/controlprint/CP11
CORDSCABLE,"http://www.moneycontrol.com/india/stockpricequote/cablespowerothers/cordscableindustries/CCI07
COROMANDEL,"http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
COSMOFILMS,"http://www.moneycontrol.com/india/stockpricequote/plastics/cosmofilms/CF08
CREATIVE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creativeperipheralsdistribution/CPD
CREDITACC,"http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/creditaccessgrameen/CG03
CREST,"http://www.moneycontrol.com/india/stockpricequote/financehousing/crestventures/SR
CROMPTON,"http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CSBBANK,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/csbbank/CB05
CTE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/jeevanscientifictechnology/JST
CTE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/pentafoursolectechnology/PST
RSSOFTWARE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cambridgetechnologyenterprises/CTE
UNIONBANK,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
CUBEXTUB,"http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/cubextubings/CT05
CUMMINSIND,"http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
CYBERMEDIA,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/cybermediaindia/CMI01
